CustomerId,SubscriptionStatus,CallsPerMonth
7590-VHVEG,Active,30
5575-GNVDE,Active,10
3668-QPYBK,Cancelled,10
7795-CFOCW,Active,29
9237-HQITU,Cancelled,54
9305-CDSKC,Cancelled,29
1452-KIOVK,Active,14
6713-OKOMC,Active,45
7892-POOKP,Cancelled,41
6388-TABGU,Active,7
9763-GRSKD,Active,46
7469-LKBCI,Active,37
8091-TTVAX,Active,21
0280-XJGEX,Cancelled,10
5129-JLPIS,Active,53
3655-SNQYZ,Active,44
8191-XWSZG,Active,9
9959-WOFKT,Active,33
4190-MFLUW,Cancelled,50
4183-MYFRB,Active,20
8779-QRDMV,Cancelled,15
1680-VDCWW,Active,6
1066-JKSGK,Cancelled,37
3638-WEABW,Active,53
6322-HRPFA,Active,20
6865-JZNKO,Active,49
6467-CHFZW,Cancelled,24
8665-UTDHZ,Cancelled,31
5248-YGIJN,Active,38
8773-HHUOZ,Cancelled,12
3841-NFECX,Active,29
4929-XIHVW,Active,40
6827-IEAUQ,Active,37
7310-EGVHZ,Active,33
3413-BMNZE,Active,10
6234-RAAPL,Active,9
6047-YHPVI,Cancelled,44
6572-ADKRS,Active,32
5380-WJKOV,Cancelled,12
8168-UQWWF,Cancelled,46
8865-TNMNX,Active,19
9489-DEDVP,Active,21
9867-JCZSP,Active,53
4671-VJLCL,Active,6
4080-IIARD,Active,50
3714-NTNFO,Active,16
5948-UJZLF,Active,44
7760-OYPDY,Cancelled,51
7639-LIAYI,Active,49
2954-PIBKO,Active,49
8012-SOUDQ,Active,35
9420-LOJKX,Cancelled,43
6575-SUVOI,Active,27
7495-OOKFY,Cancelled,53
4667-QONEA,Active,39
1658-BYGOY,Cancelled,19
8769-KKTPH,Active,46
5067-XJQFU,Active,13
3957-SQXML,Active,20
5954-BDFSG,Active,46
0434-CSFON,Active,5
1215-FIGMP,Active,42
0526-SXDJP,Active,14
0557-ASKVU,Active,52
5698-BQJOH,Cancelled,47
5122-CYFXA,Active,44
8627-ZYGSZ,Active,5
3410-YOQBQ,Active,45
3170-NMYVV,Active,19
7410-OIEDU,Active,9
2273-QCKXA,Active,13
0731-EBJQB,Active,48
1891-QRQSA,Active,12
8028-PNXHQ,Active,31
5630-AHZIL,Active,13
2673-CXQEU,Active,13
6416-JNVRK,Active,38
5590-ZSKRV,Active,17
0191-ZHSKZ,Active,27
3887-PBQAO,Active,53
5919-TMRGD,Cancelled,46
8108-UXRQN,Active,54
9191-MYQKX,Cancelled,37
9919-YLNNG,Active,31
0318-ZOPWS,Active,45
4445-ZJNMU,Active,38
4808-YNLEU,Active,29
1862-QRWPE,Active,28
2796-NNUFI,Active,48
3016-KSVCP,Active,53
4767-HZZHQ,Active,15
2424-WVHPL,Active,48
7233-PAHHL,Active,50
6067-NGCEU,Active,17
9848-JQJTX,Active,5
8637-XJIVR,Cancelled,45
9803-FTJCG,Active,27
0278-YXOOG,Cancelled,11
3212-KXOCR,Active,51
4598-XLKNJ,Cancelled,9
6380-ARCEH,Active,12
3679-XASPY,Active,42
7123-WQUHX,Active,37
5386-THSLQ,Active,8
3192-NQECA,Cancelled,32
6180-YBIQI,Active,27
6728-DKUCO,Active,7
9750-BOOHV,Active,12
8597-CWYHH,Active,53
2848-YXSMW,Active,47
0486-HECZI,Cancelled,12
4549-ZDQYY,Active,50
5712-AHQNN,Active,29
4846-WHAFZ,Cancelled,39
5256-SKJGO,Active,29
3071-VBYPO,Active,15
9560-BBZXK,Active,51
5299-RULOA,Cancelled,54
8402-OOOHJ,Active,27
9445-ZUEQE,Active,49
1091-SOZGA,Active,45
2928-HLDBA,Active,19
0404-SWRVG,Cancelled,8
6497-TILVL,Active,15
7219-TLZHO,Active,33
4622-YNKIJ,Active,9
4412-YLTKF,Cancelled,51
6734-PSBAW,Active,24
3930-ZGWVE,Active,53
2639-UGMAZ,Active,51
2876-GZYZC,Active,34
6207-WIOLX,Cancelled,28
8587-XYZSF,Active,50
3091-FYHKI,Cancelled,13
2372-HWUHI,Cancelled,55
7799-LGRDP,Active,42
7850-VWJUU,Active,42
3774-VBNXY,Active,21
6217-KDYWC,Active,20
0390-DCFDQ,Cancelled,22
3146-MSEGF,Active,36
4080-OGPJL,Cancelled,21
1095-WGNGG,Active,41
2636-SJDOU,Active,24
1131-QQZEB,Active,20
5716-EZXZN,Active,28
6837-BJYDQ,Active,15
2135-RXIHG,Cancelled,29
6440-DKQGE,Active,26
3466-BYAVD,Active,50
3780-YVMFA,Active,45
3874-EQOEP,Cancelled,11
1679-JRFBR,Active,32
9073-ZZIAY,Active,31
3077-RSNTJ,Active,43
6551-GNYDG,Active,8
9167-APMXZ,Active,33
2749-CTKAJ,Active,40
6371-NZYEG,Active,20
7554-NEWDD,Active,39
8992-VONJD,Active,22
0867-MKZVY,Cancelled,6
4482-EWFMI,Active,32
4648-YPBTM,Active,15
2907-ILJBN,Active,50
6345-FZOQH,Active,27
3376-BMGFE,Cancelled,25
5997-OPVFA,Active,39
3445-HXXGF,Cancelled,12
1159-WFSGR,Active,27
7654-YWJUF,Active,22
1875-QIVME,Cancelled,43
6727-IOTLZ,Active,15
0691-JVSYA,Cancelled,16
5918-VUKWP,Active,41
1744-JHKYS,Active,23
2656-FMOKZ,Cancelled,25
2070-FNEXE,Cancelled,6
5947-SGKCL,Active,6
3712-PKXZA,Active,44
6317-YPKDH,Cancelled,8
6582-OIVSP,Active,40
9367-WXLCH,Cancelled,13
5524-KHNJP,Active,47
1918-ZBFQJ,Cancelled,43
1024-GUALD,Cancelled,55
4827-USJHP,Active,5
8167-GJLRN,Active,41
0956-SYCWG,Active,16
8017-UVSZU,Active,6
7100-FQPRV,Active,41
2472-OVKUP,Cancelled,51
2984-RGEYA,Active,29
9680-NIAUV,Active,14
2146-EGVDT,Active,16
2604-IJPDU,Active,48
9178-JHUVJ,Active,23
6168-YBYNP,Active,33
7255-SSFBC,Active,42
3645-DEYGF,Active,32
9323-HGFWY,Active,38
8544-GOQSH,Active,10
3363-DTIVD,Active,43
7018-WBJNK,Active,49
9142-KZXOP,Active,16
7674-YTAFD,Active,10
6348-SNFUS,Active,52
1285-OKIPP,Cancelled,33
7825-ECJRF,Cancelled,14
1347-KTTTA,Active,38
7841-TZDMQ,Cancelled,27
4195-NZGTA,Active,30
7157-SMCFK,Active,38
4709-LKHYG,Active,5
2504-DSHIH,Active,36
0699-NDKJM,Active,55
9286-BHDQG,Active,5
0230-WEQUW,Active,46
2040-LDIWQ,Active,40
6496-JDSSB,Active,28
9408-SSNVZ,Cancelled,45
4443-EMBNA,Active,46
6469-MRVET,Active,15
0742-MOABM,Cancelled,16
5961-VUSRV,Active,6
6778-JFCMK,Active,32
6341-JVQGF,Active,11
2232-DMLXU,Cancelled,49
4811-JBUVU,Active,13
0945-TSONX,Active,15
2651-ZCBXV,Active,13
3316-UWXUY,Active,9
8937-RDTHP,Cancelled,48
7083-MIOPC,Active,53
1984-GPTEH,Active,52
1251-KRREG,Cancelled,35
0621-JFHOL,Active,45
9903-LYSAB,Active,47
0094-OIFMO,Cancelled,10
9227-UAQFT,Active,13
7301-ABVAD,Active,43
6614-FHDBO,Active,10
7576-ASEJU,Active,34
9058-HRZSV,Active,18
4522-AKYLR,Active,11
0221-WMXNQ,Active,45
0303-UNCIP,Active,34
9947-OTFQU,Cancelled,20
0322-YINQP,Cancelled,40
0959-WHOKV,Active,42
4075-JFPGR,Active,55
4629-NRXKX,Cancelled,40
9514-JDSKI,Cancelled,40
3282-ZISZV,Active,7
3675-YDUPJ,Active,51
4111-BNXIF,Active,23
7017-VFHAY,Active,46
6655-LHBYW,Active,44
4959-JOSRX,Cancelled,29
5046-NUHWD,Active,17
7273-TEFQD,Cancelled,23
3606-TWKGI,Cancelled,7
7529-ZDFXI,Active,17
7605-BDWDC,Active,46
1950-KSVVJ,Active,22
0123-CRBRT,Active,48
6292-TOSSS,Active,34
3197-ARFOY,Active,19
6323-AYBRX,Cancelled,20
7014-ZZXAW,Active,29
4385-GZQXV,Cancelled,6
7633-MVPUY,Active,11
6366-ZGQGL,Cancelled,8
4716-HHKQH,Active,43
5940-AHUHD,Cancelled,42
6432-TWQLB,Cancelled,33
4484-GLZOU,Cancelled,9
3179-GBRWV,Active,39
8645-KWHJO,Active,6
4130-MZLCC,Active,5
0314-TKOSI,Active,47
8229-MYEJZ,Active,11
2080-SRCDE,Active,48
9577-WJVCQ,Active,15
9512-UIBFX,Cancelled,26
6202-DYYFX,Active,53
3808-HFKDE,Active,29
5583-SXDAG,Cancelled,35
3488-PGMQJ,Cancelled,31
3580-REOAC,Cancelled,48
7534-BFESC,Cancelled,5
3727-OWVYD,Active,17
2294-SALNE,Active,11
4847-TAJYI,Active,43
1563-IWQEX,Active,46
8203-XJZRC,Active,17
6556-DBKZF,Active,23
6851-WEFYX,Active,25
2985-JUUBZ,Active,45
6390-DSAZX,Cancelled,10
0895-LMRSF,Active,42
8098-LLAZX,Cancelled,41
8266-VBFQL,Active,43
8181-YHCMF,Active,43
2240-HSJQD,Active,21
1248-DYXUB,Active,53
0265-EDXBD,Cancelled,16
4115-BNPJY,Active,48
3167-SNQPL,Active,23
4091-TVOCN,Active,23
1098-TDVUQ,Active,49
7277-OZCGZ,Active,24
1557-EMYVT,Active,52
2799-ARNLO,Active,36
7563-BIUPC,Cancelled,55
5027-YOCXN,Active,14
3973-SKMLN,Active,33
2321-OMBXY,Cancelled,31
2840-XANRC,Cancelled,17
6745-JEFZB,Active,15
5020-ZSTTY,Cancelled,26
9880-TDQAC,Active,21
8705-WZCYL,Active,20
7102-JJVTX,Active,20
8626-PTQGE,Active,14
4983-CLMLV,Active,37
5701-YVSVF,Active,27
5804-LEPIM,Cancelled,38
5697-GOMBF,Active,30
2739-CACDQ,Active,54
9385-EHGDO,Active,15
9498-FIMXL,Active,55
2379-GYFLQ,Active,17
0122-OAHPZ,Cancelled,54
